question_id,question,num_tables,tables,attributes
0,"What country was {players.name} born in?",1,"players","country_of_birth"
1,"What city was {players.name} born in?",1,"players","city_of_birth"
2,"What country does {players.name} have citizenship from?",1,"players","country_of_citizenship"
3,"What is {players.name}'s date of birth?",1,"players","date_of_birth"
4,"Which foot does {players.name} prefer?",1,"players","foot"
5,"What is {players.name}'s height in centimeters?",1,"players","height_in_cm"
6,"Was {players.name} born in {country_of_birth}?",1,"players","country_of_birth"
7,"Was {players.name} born in {city_of_birth}?",1,"players","city_of_birth"
8,"Is {players.name}'s citizenship listed as {country_of_citizenship}?",1,"players","country_of_citizenship"
9,"Is {players.name}'s preferred foot {foot}?",1,"players","foot"
10,"Is {players.name} right-footed?",1,"players","foot"
11,"Is {players.name} left-footed?",1,"players","foot"
12,"What year was {players.name} born in?",1,"players","date_of_birth"
13,"What month was {players.name} born in?",1,"players","date_of_birth"
14,"What day of the month was {players.name} born on?",1,"players","date_of_birth"
15,"How old was {players.name} on 2025-12-31?",1,"players","date_of_birth"
16,"Was {players.name} born before 2000?",1,"players","date_of_birth"
17,"Was {players.name} born in or after 2000?",1,"players","date_of_birth"
18,"Was {players.name} born before 1995?",1,"players","date_of_birth"
19,"Was {players.name} born in or after 1995?",1,"players","date_of_birth"
20,"Was {players.name} born in the 1990s?",1,"players","date_of_birth"
21,"Was {players.name} born in the 2000s?",1,"players","date_of_birth"
22,"Was {players.name} born in January?",1,"players","date_of_birth"
23,"Was {players.name} born in June?",1,"players","date_of_birth"
24,"Was {players.name} born in December?",1,"players","date_of_birth"
25,"Is {players.name} at least 180 cm tall?",1,"players","height_in_cm"
26,"Is {players.name} shorter than 175 cm?",1,"players","height_in_cm"
27,"Is {players.name} taller than 185 cm?",1,"players","height_in_cm"
28,"Is {players.name} at least 190 cm tall?",1,"players","height_in_cm"
29,"Is {players.name} shorter than 170 cm?",1,"players","height_in_cm"
30,"Is {players.name}'s height exactly {height_in_cm} cm?",1,"players","height_in_cm"
31,"What is the capital of {countries.country_name}?",1,"countries","capital_city"
32,"What continent is {countries.country_name} in?",1,"countries","continent"
33,"What confederation is listed for {countries.country_name}?",1,"countries","confederation"
34,"Is {countries.country_name} in Europe?",1,"countries","continent"
35,"Is {countries.country_name} in Asia?",1,"countries","continent"
36,"Is {countries.country_name} in Africa?",1,"countries","continent"
37,"Is {countries.country_name} in North America?",1,"countries","continent"
38,"Is {countries.country_name} in South America?",1,"countries","continent"
39,"Is {countries.country_name} in Oceania?",1,"countries","continent"
40,"Is {countries.country_name}'s confederation listed as europa?",1,"countries","confederation"
41,"Is {countries.country_name}'s confederation listed as asien?",1,"countries","confederation"
42,"Is {countries.country_name}'s confederation listed as afrika?",1,"countries","confederation"
43,"Is {countries.country_name}'s confederation listed as amerika?",1,"countries","confederation"
44,"Is {countries.country_name}'s confederation unlisted?",1,"countries","confederation"
45,"Is {countries.country_name}'s confederation listed?",1,"countries","confederation"
46,"Is the capital of {countries.country_name} {capital_city}?",1,"countries","capital_city"
47,"Is {countries.country_name}'s continent listed as {continent}?",1,"countries","continent"
48,"Is {countries.country_name}'s confederation listed as {confederation}?",1,"countries","confederation"
49,"What country is {clubs.name} based in?",1,"clubs","country_name"
50,"What stadium does {clubs.name} play in?",1,"clubs","stadium_name"
51,"What domestic competition is {clubs.name} associated with?",1,"clubs","domestic_competition_id"
52,"Is {clubs.name} based in {country_name}?",1,"clubs","country_name"
53,"Is {clubs.name}'s stadium {stadium_name}?",1,"clubs","stadium_name"
54,"Is {clubs.name} associated with {domestic_competition_id}?",1,"clubs","domestic_competition_id"
55,"Which country is listed for {clubs.name}?",1,"clubs","country_name"
56,"Which stadium is listed for {clubs.name}?",1,"clubs","stadium_name"
57,"Which domestic competition ID is listed for {clubs.name}?",1,"clubs","domestic_competition_id"
58,"Does {clubs.name} play at {stadium_name}?",1,"clubs","stadium_name"
59,"Is the listed country for {clubs.name} {country_name}?",1,"clubs","country_name"
60,"Is the listed domestic competition for {clubs.name} {domestic_competition_id}?",1,"clubs","domestic_competition_id"
