question_id,question,num_tables,tables,attributes
0,"What continent is {players.name}'s birth country in?",2,"players; countries","players.name; players.country_of_birth; countries.country_name; countries.continent"
1,"What capital city is listed for {players.name}'s birth country?",2,"players; countries","players.name; players.country_of_birth; countries.country_name; countries.capital_city"
2,"What confederation is listed for {players.name}'s birth country?",2,"players; countries","players.name; players.country_of_birth; countries.country_name; countries.confederation"
3,"What continent is {players.name}'s citizenship country in?",2,"players; countries","players.name; players.country_of_citizenship; countries.country_name; countries.continent"
4,"What capital city is listed for {players.name}'s citizenship country?",2,"players; countries","players.name; players.country_of_citizenship; countries.country_name; countries.capital_city"
5,"What confederation is listed for {players.name}'s citizenship country?",2,"players; countries","players.name; players.country_of_citizenship; countries.country_name; countries.confederation"
6,"Are {players.name}'s birth country and citizenship country in the same continent?",2,"players; countries","players.name; players.country_of_birth; players.country_of_citizenship; countries.country_name; countries.continent"
7,"Do {players.name}'s birth country and citizenship country have the same listed confederation?",2,"players; countries","players.name; players.country_of_birth; players.country_of_citizenship; countries.country_name; countries.confederation"
8,"Do {players.name}'s birth country and citizenship country have the same listed capital city?",2,"players; countries","players.name; players.country_of_birth; players.country_of_citizenship; countries.country_name; countries.capital_city"
9,"What continent is {clubs.name}'s country in?",2,"clubs; countries","clubs.name; clubs.country_name; countries.country_name; countries.continent"
10,"What capital city is listed for {clubs.name}'s country?",2,"clubs; countries","clubs.name; clubs.country_name; countries.country_name; countries.capital_city"
11,"What confederation is listed for {clubs.name}'s country?",2,"clubs; countries","clubs.name; clubs.country_name; countries.country_name; countries.confederation"
12,"Which continent is the country listed for {clubs.name} in?",2,"clubs; countries","clubs.name; clubs.country_name; countries.country_name; countries.continent"
13,"Which capital city belongs to the country listed for {clubs.name}?",2,"clubs; countries","clubs.name; clubs.country_name; countries.country_name; countries.capital_city"
14,"What confederation is listed for the country listed for {clubs.name}?",2,"clubs; countries","clubs.name; clubs.country_name; countries.country_name; countries.confederation"
15,"What type is the domestic competition listed for {clubs.name}?",2,"clubs; competitions","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.type"
16,"What subtype is the domestic competition listed for {clubs.name}?",2,"clubs; competitions","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.sub_type"
17,"What country is {clubs.name}'s domestic competition associated with?",2,"clubs; competitions","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.country_name"
18,"What confederation is listed for {clubs.name}'s domestic competition?",2,"clubs; competitions","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.confederation"
19,"What competition code is listed for {clubs.name}'s domestic competition?",2,"clubs; competitions","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.competition_code"
20,"What domestic league code is listed for {clubs.name}'s domestic competition?",2,"clubs; competitions","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.domestic_league_code"
21,"What continent is the country of {clubs.name}'s domestic competition in?",3,"clubs; competitions; countries","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.continent"
22,"What capital city is listed for the country of {clubs.name}'s domestic competition?",3,"clubs; competitions; countries","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.capital_city"
23,"What confederation is listed for the country of {clubs.name}'s domestic competition?",3,"clubs; competitions; countries","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.confederation"
24,"Is the country of {clubs.name}'s domestic competition in Europe?",3,"clubs; competitions; countries","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.continent"
25,"Does the country of {clubs.name}'s domestic competition have {countries.capital_city} as its listed capital?",3,"clubs; competitions; countries","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.capital_city"
26,"Is the country of {clubs.name}'s domestic competition listed with confederation {countries.confederation}?",3,"clubs; competitions; countries","clubs.name; clubs.domestic_competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.confederation"
27,"Which foot does the player prefer in game {appearance.game_id}?",2,"appearance; players","appearance.game_id; appearance.player_id; players.player_id; players.foot"
28,"What is the player's height in centimeters in game {appearance.game_id}?",2,"appearance; players","appearance.game_id; appearance.player_id; players.player_id; players.height_in_cm"
29,"What country was the player born in, for the player appearing in game {appearance.game_id}?",2,"appearance; players","appearance.game_id; appearance.player_id; players.player_id; players.country_of_birth"
30,"What city was the player born in, for the player appearing in game {appearance.game_id}?",2,"appearance; players","appearance.game_id; appearance.player_id; players.player_id; players.city_of_birth"
31,"What citizenship country is listed for the player, for the player appearing in game {appearance.game_id}?",2,"appearance; players","appearance.game_id; appearance.player_id; players.player_id; players.country_of_citizenship"
32,"What is the date of birth of the player, for the player appearing in game {appearance.game_id}?",2,"appearance; players","appearance.game_id; appearance.player_id; players.player_id; players.date_of_birth"
33,"How old was the player, who appeared in game {appearance.game_id}, on 2025-12-31?",2,"appearance; players","appearance.game_id; appearance.player_id; players.player_id; players.date_of_birth"
34,"What continent is the birth country of the player, who appeared in game {appearance.game_id}, in?",3,"appearance; players; countries","appearance.game_id; appearance.player_id; players.player_id; players.country_of_birth; countries.country_name; countries.continent"
35,"What capital city is listed for the birth country of the player, who appeared in game {appearance.game_id}?",3,"appearance; players; countries","appearance.game_id; appearance.player_id; players.player_id; players.country_of_birth; countries.country_name; countries.capital_city"
36,"What confederation is listed for the birth country of the player who appeared in game {appearance.game_id}?",3,"appearance; players; countries","appearance.game_id; appearance.player_id; players.player_id; players.country_of_birth; countries.country_name; countries.confederation"
37,"What continent is the citizenship country of the player, who appeared in game {appearance.game_id}, in?",3,"appearance; players; countries","appearance.game_id; appearance.player_id; players.player_id; players.country_of_citizenship; countries.country_name; countries.continent"
38,"What capital city is listed for the citizenship country of the player, who appeared in game {appearance.game_id}?",3,"appearance; players; countries","appearance.game_id; appearance.player_id; players.player_id; players.country_of_citizenship; countries.country_name; countries.capital_city"
39,"What confederation is listed for the citizenship country of the player who appeared in game {appearance.game_id}?",3,"appearance; players; countries","appearance.game_id; appearance.player_id; players.player_id; players.country_of_citizenship; countries.country_name; countries.confederation"
40,"What country is listed for the club the player appeared for in game {appearance.game_id}?",2,"appearance; clubs","appearance.game_id; appearance.player_club_id; clubs.club_id; clubs.country_name"
41,"What stadium is listed for the club the player appeared for in game {appearance.game_id}?",2,"appearance; clubs","appearance.game_id; appearance.player_club_id; clubs.club_id; clubs.stadium_name"
42,"What domestic competition is listed for the club the player appeared for in game {appearance.game_id}?",2,"appearance; clubs","appearance.game_id; appearance.player_club_id; clubs.club_id; clubs.domestic_competition_id"
43,"What country is listed for the current club of the player who appeared in game {appearance.game_id}?",2,"appearance; clubs","appearance.game_id; appearance.player_current_club_id; clubs.club_id; clubs.country_name"
